"f" "voor" "ref" "hyp"
"1" "02092021_result.TextGrid" 1 "okei" "okei"
"2" "02092021_result.TextGrid" 1 "okei" "okei"
"3" "02092021_result.TextGrid" 1 "aga" "aga"
"4" "02092021_result.TextGrid" 1 "me" "me"
"5" "02092021_result.TextGrid" 1 "ei" "ei"
"6" "02092021_result.TextGrid" 1 "ole" "ole"
"7" "02092021_result.TextGrid" 1 "täna" "täna"
"8" "02092021_result.TextGrid" 1 "siin" "siin"
"9" "02092021_result.TextGrid" 1 "kahekesi" "kahekesi"
"10" "02092021_result.TextGrid" 1 "meil" "meil"
"11" "02092021_result.TextGrid" 1 "on" "on"
"12" "02092021_result.TextGrid" 1 "ka" "ka"
"13" "02092021_result.TextGrid" 1 "extra" "ekstra"
"14" "02092021_result.TextGrid" 1 "special" "spesal"
"15" "02092021_result.TextGrid" 1 "kes" "kes"
"16" "02092021_result.TextGrid" 1 "kes" "kes"
"17" "02092021_result.TextGrid" 1 "on" "on"
"18" "02092021_result.TextGrid" 1 "praegu" "praegu"
"19" "02092021_result.TextGrid" 1 "tallinnas" "tallinnas"
"20" "02092021_result.TextGrid" 1 "krõõt" "rõõt"
"21" "02092021_result.TextGrid" 1 "juurak" "uurak"
"22" "02092021_result.TextGrid" 1 "tere" "####"
"23" "02092021_result.TextGrid" 2 "tere" "tere"
"24" "02092021_result.TextGrid" 3 "räägime" "räägime"
"25" "02092021_result.TextGrid" 3 "nüüd" "####"
"26" "02092021_result.TextGrid" 3 "kuidas" "kuidas"
"27" "02092021_result.TextGrid" 3 "sa" "sa"
"28" "02092021_result.TextGrid" 3 "kuidas" "kuidas"
"29" "02092021_result.TextGrid" 3 "sa" "sa"
"30" "02092021_result.TextGrid" 3 "sattusid" "sattusid"
"31" "02092021_result.TextGrid" 3 "täna" "täna"
"32" "02092021_result.TextGrid" 3 "siia" "siia"
"33" "02092021_result.TextGrid" 3 "no" "####"
"34" "02092021_result.TextGrid" 3 "et" "####"
"35" "02092021_result.TextGrid" 4 "ei" "ei"
"36" "02092021_result.TextGrid" 4 "jah" "jah"
"37" "02092021_result.TextGrid" 4 "ma" "ma"
"38" "02092021_result.TextGrid" 4 "ma" "ma"
"39" "02092021_result.TextGrid" 4 "vabandan" "vabandan"
"40" "02092021_result.TextGrid" 4 "esiteks" "esiteks"
"41" "02092021_result.TextGrid" 4 "ma" "ma"
"42" "02092021_result.TextGrid" 4 "nii" "nii"
"43" "02092021_result.TextGrid" 4 "hilja" "hilja"
"44" "02092021_result.TextGrid" 4 "vastasin" "vastasin"
"45" "02092021_result.TextGrid" 4 "mul" "mul"
"46" "02092021_result.TextGrid" 4 "oli" "oli"
"47" "02092021_result.TextGrid" 4 "tööl" "tööl"
"48" "02092021_result.TextGrid" 4 "väga" "väga"
"49" "02092021_result.TextGrid" 4 "kiire" "kiire"
"50" "02092021_result.TextGrid" 4 "või" "####"
"51" "02092021_result.TextGrid" 4 "ma" "ma"
"52" "02092021_result.TextGrid" 4 "ei" "ei"
"53" "02092021_result.TextGrid" 4 "tea" "tea"
"54" "02092021_result.TextGrid" 4 "mis" "mis"
"55" "02092021_result.TextGrid" 4 "mul" "mul"
"56" "02092021_result.TextGrid" 4 "toimus" "toimus"
"57" "02092021_result.TextGrid" 4 "elus" "elus"
"58" "02092021_result.TextGrid" 4 "aga" "aga"
"59" "02092021_result.TextGrid" 4 "ma" "ma"
"60" "02092021_result.TextGrid" 4 "lihtsalt" "lihtsalt"
"61" "02092021_result.TextGrid" 4 "olin" "olin"
"62" "02092021_result.TextGrid" 4 "kirjadega" "kirjadega"
"63" "02092021_result.TextGrid" 4 "vägaväga" "vägaväga"
"64" "02092021_result.TextGrid" 4 "kuidagi" "kuidagi"
"65" "02092021_result.TextGrid" 4 "ei" "ei"
"66" "02092021_result.TextGrid" 4 "jõudnud" "jõudnud"
"67" "02092021_result.TextGrid" 4 "vastata" "vastata"
"68" "02092021_result.TextGrid" 4 "neile" "neile"
"69" "02092021_result.TextGrid" 4 "ehk" "ehk"
"70" "02092021_result.TextGrid" 4 "kui" "kui"
"71" "02092021_result.TextGrid" 4 "ma" "ma"
"72" "02092021_result.TextGrid" 4 "kellelegi" "kellelegi"
"73" "02092021_result.TextGrid" 4 "kirja" "kirja"
"74" "02092021_result.TextGrid" 4 "ei" "ei"
"75" "02092021_result.TextGrid" 4 "ole" "ole"
"76" "02092021_result.TextGrid" 4 "vastanud" "vastanud"
"77" "02092021_result.TextGrid" 4 "kes" "kes"
"78" "02092021_result.TextGrid" 4 "seda" "seda"
"79" "02092021_result.TextGrid" 4 "saadet" "saadet"
"80" "02092021_result.TextGrid" 4 "kuulab" "kuulab"
"81" "02092021_result.TextGrid" 4 "siis" "siis"
"82" "02092021_result.TextGrid" 4 "palun" "palun"
"83" "02092021_result.TextGrid" 4 "ärge" "ärge"
"84" "02092021_result.TextGrid" 4 "pange" "pange"
"85" "02092021_result.TextGrid" 4 "pahaks" "pahaks"
"86" "02092021_result.TextGrid" 4 "miks" "miks"
"87" "02092021_result.TextGrid" 4 "me" "me"
"88" "02092021_result.TextGrid" 4 "kutsusime" "kutsusime"
"89" "02092021_result.TextGrid" 5 "no" "no"
"90" "02092021_result.TextGrid" 5 "võibolla" "võibolla"
"91" "02092021_result.TextGrid" 5 "ma" "####"
"92" "02092021_result.TextGrid" 5 "siis" "####"
"93" "02092021_result.TextGrid" 5 "alustaksingi" "alustasingi"
"94" "02092021_result.TextGrid" 5 "sellega" "sellega"
"95" "02092021_result.TextGrid" 5 "et" "et"
"96" "02092021_result.TextGrid" 5 "tegelikult" "tegelikult"
"97" "02092021_result.TextGrid" 5 "enne" "enne"
"98" "02092021_result.TextGrid" 5 "kui" "kui"
