"f" "voor" "ref" "hyp"
"1" "09062022_result.TextGrid" 1 "emma" "####"
"2" "09062022_result.TextGrid" 1 "aka" "ema"
"3" "09062022_result.TextGrid" 1 "süntaktiline" "süntaktiline"
"4" "09062022_result.TextGrid" 1 "suhkur" "suhkur"
"5" "09062022_result.TextGrid" 1 "ma" "ma"
"6" "09062022_result.TextGrid" 1 "valisin" "valisin"
"7" "09062022_result.TextGrid" 1 "selle" "selle"
"8" "09062022_result.TextGrid" 1 "loo" "loo"
"9" "09062022_result.TextGrid" 1 "sellepärast" "sellepärast"
"10" "09062022_result.TextGrid" 1 "et" "et"
"11" "09062022_result.TextGrid" 1 "see" "see"
"12" "09062022_result.TextGrid" 1 "on" "on"
"13" "09062022_result.TextGrid" 1 "väga" "väga"
"14" "09062022_result.TextGrid" 1 "sihuke" "selline"
"15" "09062022_result.TextGrid" 1 "prideilik" "braidilik"
"16" "09062022_result.TextGrid" 1 "lugu" "lugu"
"17" "09062022_result.TextGrid" 1 "et" "et"
"18" "09062022_result.TextGrid" 2 "artist" "artist"
"19" "09062022_result.TextGrid" 2 "ise" "ise"
"20" "09062022_result.TextGrid" 2 "on" "on"
"21" "09062022_result.TextGrid" 2 "islandi" "islandi"
"22" "09062022_result.TextGrid" 2 "geikogemusega" "geikogemusega"
"23" "09062022_result.TextGrid" 2 "muusik" "muusik"
"24" "09062022_result.TextGrid" 2 "ja" "ja"
"25" "09062022_result.TextGrid" 2 "lisaks" "lisaks"
"26" "09062022_result.TextGrid" 2 "see" "see"
"27" "09062022_result.TextGrid" 2 "lugu" "lugu"
"28" "09062022_result.TextGrid" 2 "kuidas" "kuidas"
"29" "09062022_result.TextGrid" 2 "ma" "ma"
"30" "09062022_result.TextGrid" 2 "temast" "temast"
"31" "09062022_result.TextGrid" 2 "teada" "teada"
"32" "09062022_result.TextGrid" 2 "sain" "sain"
"33" "09062022_result.TextGrid" 2 "on" "on"
"34" "09062022_result.TextGrid" 2 "minu" "minu"
"35" "09062022_result.TextGrid" 2 "arust" "arust"
"36" "09062022_result.TextGrid" 2 "väga" "väga"
"37" "09062022_result.TextGrid" 2 "sobilik" "sobiv"
"38" "09062022_result.TextGrid" 2 "pridei kuusse" "elektriidikus"
"39" "09062022_result.TextGrid" 2 "et" "et"
"40" "09062022_result.TextGrid" 2 "mul" "mul"
"41" "09062022_result.TextGrid" 2 "oli" "oli"
"42" "09062022_result.TextGrid" 2 "minu" "minu"
"43" "09062022_result.TextGrid" 2 "esimene" "esimene"
"44" "09062022_result.TextGrid" 3 "interneticrush" "internetikras"
"45" "09062022_result.TextGrid" 3 "või" "või"
"46" "09062022_result.TextGrid" 3 "suhe" "suhe"
"47" "09062022_result.TextGrid" 3 "tema" "tema"
"48" "09062022_result.TextGrid" 3 "jagas" "jagas"
"49" "09062022_result.TextGrid" 3 "mulle" "mulle"
"50" "09062022_result.TextGrid" 3 "hästi" "hästi"
"51" "09062022_result.TextGrid" 3 "palju" "palju"
"52" "09062022_result.TextGrid" 3 "islandi" "islandi"
"53" "09062022_result.TextGrid" 3 "muusikat" "muusikat"
"54" "09062022_result.TextGrid" 3 "ta" "####"
"55" "09062022_result.TextGrid" 3 "oli" "####"
"56" "09062022_result.TextGrid" 3 "ise" "####"
"57" "09062022_result.TextGrid" 3 "islandilt" "####"
"58" "09062022_result.TextGrid" 3 "päris" "####"
"59" "09062022_result.TextGrid" 3 "või" "ni"
"60" "09062022_result.TextGrid" 3 "ta" "ta"
"61" "09062022_result.TextGrid" 3 "ei" "ei"
"62" "09062022_result.TextGrid" 3 "olnud" "olnud"
"63" "09062022_result.TextGrid" 3 "islandilt" "islandil"
"64" "09062022_result.TextGrid" 3 "pärit" "pärit"
"65" "09062022_result.TextGrid" 3 "ta" "ta"
"66" "09062022_result.TextGrid" 3 "on" "on"
"67" "09062022_result.TextGrid" 3 "eestlane" "eestlane"
"68" "09062022_result.TextGrid" 4 "tšau" "jau"
"69" "09062022_result.TextGrid" 4 "kirill" "kirill"
"70" "09062022_result.TextGrid" 4 "kui" "####"
"71" "09062022_result.TextGrid" 4 "sa" "####"
"72" "09062022_result.TextGrid" 4 "kuuled" "####"
"73" "09062022_result.TextGrid" 4 "seda" "####"
"74" "09062022_result.TextGrid" 5 "jaa" "ja"
"75" "09062022_result.TextGrid" 5 "see" "see"
"76" "09062022_result.TextGrid" 5 "on" "on"
"77" "09062022_result.TextGrid" 5 "tõsi" "tõsi"
"78" "09062022_result.TextGrid" 5 "sa" "sa"
"79" "09062022_result.TextGrid" 5 "ja" "ja"
"80" "09062022_result.TextGrid" 5 "ta" "ta"
"81" "09062022_result.TextGrid" 5 "külastas" "külastas"
"82" "09062022_result.TextGrid" 5 "ka" "ka"
"83" "09062022_result.TextGrid" 5 "hästi" "hästi"
"84" "09062022_result.TextGrid" 5 "palju" "palju"
