"f" "voor" "ref" "hyp"
"1" "07072022_result.TextGrid" 1 "hei" "ei"
"2" "07072022_result.TextGrid" 1 "hei" "ei"
"3" "07072022_result.TextGrid" 1 "siin" "siin"
"4" "07072022_result.TextGrid" 1 "on" "on"
"5" "07072022_result.TextGrid" 1 "geid" "geid"
"6" "07072022_result.TextGrid" 2 "iga" "iga"
"7" "07072022_result.TextGrid" 2 "päev" "päev"
"8" "07072022_result.TextGrid" 2 "on" "on"
"9" "07072022_result.TextGrid" 2 "käimas" "käimas"
"10" "07072022_result.TextGrid" 2 "reiv" "reiv"
"11" "07072022_result.TextGrid" 3 "tere" "tere"
"12" "07072022_result.TextGrid" 3 "kuulajad" "kuulajad"
"13" "07072022_result.TextGrid" 4 "siin" "siin"
"14" "07072022_result.TextGrid" 4 "oli" "oli"
"15" "07072022_result.TextGrid" 4 "mingi" "mingi"
"16" "07072022_result.TextGrid" 4 "brasiillane" "brasiillane"
"17" "07072022_result.TextGrid" 4 "kes" "kes"
"18" "07072022_result.TextGrid" 4 "oli" "oli"
"19" "07072022_result.TextGrid" 4 "küsinud" "küsinud"
"20" "07072022_result.TextGrid" 4 "et" "et"
"21" "07072022_result.TextGrid" 4 "nüüd" "nüüd"
"22" "07072022_result.TextGrid" 4 "ongi" "ongi"
"23" "07072022_result.TextGrid" 4 "läbi" "läbi"
"24" "07072022_result.TextGrid" 4 "suvi" "suvi"
"25" "07072022_result.TextGrid" 4 "ja" "ja"
"26" "07072022_result.TextGrid" 4 "siis" "siis"
"27" "07072022_result.TextGrid" 4 "oli" "oli"
"28" "07072022_result.TextGrid" 4 "ei" "####"
"29" "07072022_result.TextGrid" 4 "ei" "ei"
"30" "07072022_result.TextGrid" 4 "see" "see"
"31" "07072022_result.TextGrid" 4 "ongi" "ongi"
"32" "07072022_result.TextGrid" 4 "eesti" "eesti"
"33" "07072022_result.TextGrid" 4 "suvi" "suvi"
"34" "07072022_result.TextGrid" 4 "mhmh" "####"
"35" "07072022_result.TextGrid" 4 "just" "####"
"36" "07072022_result.TextGrid" 5 "no" "no"
"37" "07072022_result.TextGrid" 5 "nii" "nii"
"38" "07072022_result.TextGrid" 5 "pride" "brid"
"39" "07072022_result.TextGrid" 5 "kuu" "kuu"
"40" "07072022_result.TextGrid" 5 "on" "on"
"41" "07072022_result.TextGrid" 5 "seljatatud" "seljatatud"
