"f" "voor" "ref" "hyp"
"1" "05082021_result.TextGrid" 1 "ma" "####"
"2" "05082021_result.TextGrid" 1 "nägin" "####"
"3" "05082021_result.TextGrid" 1 "vahvaid" "vaid"
"4" "05082021_result.TextGrid" 1 "videosi" "videosid"
"5" "05082021_result.TextGrid" 1 "jah" "ja"
"6" "05082021_result.TextGrid" 1 "aga" "aga"
"7" "05082021_result.TextGrid" 1 "jah" "jah"
"8" "05082021_result.TextGrid" 1 "kahjuks" "kahjuks"
"9" "05082021_result.TextGrid" 1 "ma" "ma"
"10" "05082021_result.TextGrid" 1 "ise" "ise"
"11" "05082021_result.TextGrid" 1 "ei" "ei"
"12" "05082021_result.TextGrid" 1 "läinud" "läinud"
"13" "05082021_result.TextGrid" 1 "osalenud" "osalenud"
"14" "05082021_result.TextGrid" 2 "ma" "käisin"
"15" "05082021_result.TextGrid" 2 "käisin" "kalana"
"16" "05082021_result.TextGrid" 2 "kalana" "soundil"
"17" "05082021_result.TextGrid" 2 "soundil" "kunagi"
"18" "05082021_result.TextGrid" 2 "kunagi" "mitu"
"19" "05082021_result.TextGrid" 2 "mitu" "aastat"
"20" "05082021_result.TextGrid" 2 "aastat" "tagasi"
"21" "05082021_result.TextGrid" 2 "####" "jah"
"22" "05082021_result.TextGrid" 2 "tagasi" "ja"
"23" "05082021_result.TextGrid" 2 "jaa" "see"
"24" "05082021_result.TextGrid" 2 "see" "oli"
"25" "05082021_result.TextGrid" 2 "oli" "vahva"
"26" "05082021_result.TextGrid" 2 "vahva" "aga"
"27" "05082021_result.TextGrid" 2 "aga" "mul"
"28" "05082021_result.TextGrid" 2 "mul" "on"
"29" "05082021_result.TextGrid" 2 "on" "alati"
"30" "05082021_result.TextGrid" 2 "alati" "veidi"
"31" "05082021_result.TextGrid" 2 "veidi" "selline"
"32" "05082021_result.TextGrid" 2 "selline" "####"
"33" "05082021_result.TextGrid" 2 "mental" "mensobraikn"
"34" "05082021_result.TextGrid" 2 "breakdown" "vipes"
"35" "05082021_result.TextGrid" 2 "vibes" "kui"
"36" "05082021_result.TextGrid" 2 "kui" "ma"
"37" "05082021_result.TextGrid" 2 "ma" "tallinnast"
